segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len,health_score,anomaly_risk,maintenance_priority
13,1,0,CADC0872,1,229,230,-1.595561282608696e-06,6.0866030893396e-10,2.4671041910182063e-05,-0.812622692797941,0.3897460704873026,1,1,1,1,1,9.853793080883763e-12,1.9199652146969388e-11,229,230,2.6579052791875986e-12,2.646349169278087e-12,94.09248581587887,5.907514184121126,Low
14,0,1,CADC0872,1,221,222,6.963036954954955e-06,6.600910775784e-10,2.569223769114711e-05,-1.3099544300386137,-0.1617670429963454,1,1,1,67,77,8.710885684176065e-13,1.0171315610337586e-12,221,222,2.986837455105884e-12,2.9733832323351362e-12,95.90536461170286,4.094635388297135,Low
15,1,1,CADC0872,1,200,201,-7.767890676616916e-06,1.4598433919622123e-10,1.2082397907543902e-05,-1.3764193585466062,-0.1466542507753611,8,2,1,21,32,4.0355165314199206e-12,9.654801934071314e-12,200,201,7.299216959811063e-13,7.262902447573199e-13,95.8964978414065,4.1035021585935,Low
16,0,1,CADC0872,1,249,250,2.560307673600001e-06,5.613340482840467e-10,2.369248928002389e-05,-1.4583843794155231,-0.0394007283374755,1,1,1,67,66,2.09028752873673e-12,4.5076300228425646e-12,249,250,2.2543536075664533e-12,2.2453361931361878e-12,95.6336454895647,4.3663545104353005,Low
17,0,1,CADC0872,1,238,239,2.181008912133891e-06,3.4062737476365075e-10,1.845609316089542e-05,-1.0120805740067558,-0.363082320020136,1,1,1,54,64,1.6851626846655493e-12,3.865913626402384e-12,238,239,1.4312074569901292e-12,1.4252191412705053e-12,96.32566816558027,3.674331834419732,Low
18,0,0,CADC0872,1,213,214,-1.104237738317757e-06,2.435482513359998e-10,1.5606032530274945e-05,-1.0863347541610358,-0.3215406848946128,1,1,1,47,51,1.5541308586841698e-12,3.651738322983825e-12,213,214,1.1434190203568064e-12,1.138075940822429e-12,96.245523258196,3.754476741803998,Low
19,1,1,CADC0872,1,202,203,-5.584398348768473e-06,1.9262978945958084e-10,1.387911342484025e-05,-1.2649221065817802,-0.1468441553509792,2,1,1,29,40,2.3599440551902203e-12,5.479548364194244e-12,202,203,9.536128191068358e-13,9.489152190127137e-13,95.8407699589414,4.159230041058606,Low
20,1,0,CADC0872,1,267,268,3.992460474626865e-06,5.382671391492644e-10,2.320058488808557e-05,-1.02966075201578,-0.3120467255345933,1,1,1,18,19,5.083800741327838e-12,1.029699471866654e-11,267,268,2.015981794566534e-12,2.0084594744375546e-12,96.18981781445838,3.8101821855416205,Low
21,1,0,CADC0872,1,281,282,5.289524934397164e-06,4.2267670560076074e-10,2.0559102743085867e-05,-0.6099811249142237,-0.5351140290160574,3,2,1,1,2,2.2744860842710048e-11,6.684322749233181e-11,281,282,1.504187564415519e-12,1.4988535659601448e-12,96.61018339124495,3.389816608755055,Low
22,1,1,CADC0872,1,183,184,-5.040148853641304e-06,2.2957973930255104e-10,1.5151888968130378e-05,0.5374727443578138,-1.5093964027183435,6,1,1,14,15,7.517321168711943e-12,1.5725877456716946e-11,183,184,1.2545340945494592e-12,1.247715974470386e-12,98.79161148528654,1.2083885147134623,Low
23,0,1,CADC0872,1,243,244,2.346611106557377e-06,8.908867435407414e-10,2.9847725935835408e-05,-1.4878089313826552,0.0022501749039919,1,1,1,47,53,3.0884833911403045e-12,6.299152873774194e-12,243,244,3.66620059070264e-12,3.651175178445663e-12,95.53030383070805,4.46969616929195,Low
24,1,1,CADC0872,1,201,202,-8.968957113861387e-06,4.0564902046655837e-10,2.0140730385627982e-05,-1.3019901857550655,-0.1811360840432008,1,1,1,12,13,6.703092841414196e-12,1.307913476781837e-11,201,202,2.018154330679395e-12,2.0081634676562297e-12,95.9563909056072,4.0436090943928065,Low
25,0,1,CADC0872,1,208,209,9.8655519138756e-07,6.941012221737456e-10,2.634580084517732e-05,-1.4755890643097809,-0.031255114779436,1,1,1,50,61,2.0925472008710955e-12,3.571336707892104e-12,208,209,3.3370251066045472e-12,3.321058479300219e-12,95.6191611088198,4.380838891180204,Low
26,0,1,CADC0872,1,210,211,2.9755845450236967e-06,8.370861073143552e-10,2.8932440396799493e-05,-1.4931356400078035,-0.0093463402546961,1,1,1,42,53,2.494872292997721e-12,4.621311987082184e-12,210,211,3.986124320544548e-12,3.9672327360869916e-12,95.5658662170708,4.4341337829291945,Low
27,0,1,CADC0872,1,202,203,7.010657576354678e-06,5.013480960466014e-10,2.2390803827611936e-05,-0.8336900319426253,-0.4789567957926405,2,1,1,36,38,3.2894368618308617e-12,7.773531738830662e-12,202,203,2.481921267557433e-12,2.469695054416756e-12,96.56383312074256,3.436166879257442,Low
28,0,0,CADC0872,1,181,182,-4.743231538461536e-07,2.2825209786002243e-10,1.5108014358611873e-05,-0.7797241551683598,-0.6228378324931242,1,1,1,38,47,1.214893538327048e-12,2.8585815049019e-12,181,182,1.2610613141437705e-12,1.2541324058242993e-12,96.94441200849299,3.0555879915070108,Low
29,1,1,CADC0872,1,225,226,2.5735809424778764e-06,3.9915988314566786e-10,1.997898603897775e-05,-1.2579965834416331,-0.1848671680237747,4,2,1,13,27,6.237984693873817e-12,1.373772180159846e-11,225,226,1.7740439250918573e-12,1.76619417321092e-12,95.94478636743446,4.05521363256554,Low
30,0,0,CADC0872,1,194,195,-2.18286067297436e-06,1.2341850460009111e-10,1.110938812896962e-05,-0.8880815455825006,-0.3856325215567748,3,1,1,45,48,2.401660562436652e-12,6.975553311374877e-12,194,195,6.361778587633563e-13,6.329154082055955e-13,96.32726670112949,3.6727332988705115,Low
31,1,0,CADC0872,1,198,199,3.98613059798995e-06,1.4249355135748187e-10,1.1937066279345267e-05,-1.09267254842308,0.3714784956999048,1,1,1,19,16,3.387310865985416e-12,7.259268003026522e-12,198,199,7.19664400795363e-13,7.160479967712657e-13,94.28581627478314,5.714183725216856,Low
32,0,1,CADC0872,1,202,203,6.426002753694582e-07,2.2883340565612087e-10,1.5127240516899338e-05,-1.2901575129495155,-0.1535840082192607,1,1,1,55,61,1.886357072614889e-12,5.296148517595596e-12,202,203,1.132838641861985e-12,1.1272581559414826e-12,95.87254292187346,4.12745707812654,Low
33,0,1,CADC0872,1,229,230,2.101973343478261e-06,3.6454762997174174e-10,1.909313043928999e-05,-1.4942384421491517,0.0198442970180315,1,1,1,64,64,2.332067506749891e-12,6.430783995253762e-12,229,230,1.5919110479115366e-12,1.5849896955293129e-12,95.48405209006813,4.515947909931867,Low
34,0,1,CADC0872,1,185,186,-7.543538026881721e-06,8.746723383396739e-11,9.352391877694572e-06,-1.1978992609144303,-0.2081805538291964,3,1,1,41,44,1.5755302193307805e-12,4.361466225010511e-12,185,186,4.72795858561986e-13,4.702539453439108e-13,95.98086577682193,4.019134223178071,Low
35,0,0,CADC0872,1,226,227,6.124206829515419e-06,6.458078624865878e-10,2.541274999850641e-05,-1.1283898004965605,-0.2607257972634032,1,1,1,57,73,1.89203639218526e-12,4.395055610008221e-12,226,227,2.8575569136574684e-12,2.8449685572096385e-12,96.09414918460013,3.905850815399873,Low
36,0,1,CADC0872,1,213,214,3.743594481308412e-06,6.40731486430014e-10,2.531267442270797e-05,-1.1666609687637206,-0.2631781676284668,1,1,1,51,59,1.5349787323895149e-12,3.1348538200671495e-12,213,214,3.008129044272367e-12,2.9940723664953928e-12,96.12039227973871,3.8796077202612906,Low
37,0,1,CADC0872,1,192,193,6.116210595854922e-06,7.083659690789161e-10,2.661514548295606e-05,-1.153059937909473,-0.2862722087532431,1,1,1,31,38,1.7912677071097193e-12,3.085998146989425e-12,192,193,3.689406088952689e-12,3.670289995227546e-12,96.17890936676946,3.82109063323054,Low
38,0,1,CADC0872,1,196,197,1.7975299492386502e-08,7.739083804899863e-10,2.781920884011597e-05,-1.4850694590849882,-0.0666227459606806,1,1,1,44,55,1.4800673793906628e-12,2.055843066294225e-12,196,197,3.948512145357074e-12,3.928468936497393e-12,95.72407432942975,4.2759256705702455,Low
39,0,1,CADC0872,1,201,202,-4.013059732673268e-06,7.030623892734438e-10,2.6515323669030403e-05,-1.5032768274517874,0.0422817171651537,1,1,1,53,63,2.0956523023503574e-12,4.619261055251599e-12,201,202,3.4978228322061884e-12,3.480506877591307e-12,95.42481618940282,4.575183810597181,Low
40,0,1,CADC0872,1,181,182,-5.13265655e-06,3.017189325157163e-10,1.737005850639877e-05,-1.0719674877397287,-0.2704383521480956,2,1,1,41,48,4.688929118648005e-12,1.2691291607019423e-11,181,182,1.666955428263626e-12,1.6577963325039357e-12,96.09347356821166,3.906526431788336,Low
41,0,1,CADC0872,1,199,200,4.06904122e-06,4.445181129861795e-10,2.108359819827203e-05,-1.4026988422537556,-0.1200316282187602,1,1,1,34,40,2.5415260430275344e-12,6.3915221871309396e-12,199,200,2.233759361739596e-12,2.222590564930898e-12,95.8340483356626,4.165951664337399,Low
42,0,0,CADC0872,1,192,193,4.740144067357513e-06,2.733656242027504e-10,1.653377223148881e-05,-0.7344110338603698,-0.5283865011298791,2,1,1,43,54,2.5763674947990272e-12,6.9194882920046134e-12,192,193,1.4237792927226585e-12,1.416402197941712e-12,96.6539838884671,3.3460161115329043,Low
43,0,0,CADC0872,1,173,174,-2.7021560402298847e-06,1.2020044668510903e-10,1.0963596430237162e-05,-0.5898995336961526,-0.6651712810061887,2,1,1,47,58,2.5786907004658168e-12,7.280366690347954e-12,173,174,6.948002698561217e-13,6.908071648569486e-13,96.96876129275142,3.0312387072485762,Low
44,0,1,CADC0872,1,205,206,7.183812135922328e-07,3.1104888852690237e-10,1.7636578141093652e-05,-1.4721426388551364,-0.0150803784611694,2,1,1,34,41,2.7770370187511977e-12,7.85309143882054e-12,205,206,1.5173116513507432e-12,1.5099460608102057e-12,95.5718858538902,4.428114146109806,Low
45,0,1,CADC0872,1,195,196,-1.312462500000001e-07,2.438485665346287e-10,1.561565133238536e-05,-1.4229913972403705,-0.0620299500774983,2,1,1,41,36,2.3971462657617682e-12,6.253709589544623e-12,195,196,1.2505054694083525e-12,1.2441253394623913e-12,95.68015959868544,4.319840401314565,Low
46,0,1,CADC0872,1,185,186,6.967145411827957e-06,2.38197557691497e-10,1.543365017393802e-05,-1.429684555894081,-0.1021904956909832,3,1,1,40,52,2.3558835814535306e-12,4.935010106102847e-12,185,186,1.2875543658999845e-12,1.2806320305994468e-12,95.79729679048748,4.202703209512521,Low
47,0,1,CADC0872,1,184,185,-3.4006216e-06,2.0932254182656862e-10,1.4467983336545858e-05,-0.9771111583624026,-0.3765486249078456,1,1,1,44,53,9.644726418815068e-13,1.856168658358875e-12,184,185,1.1376225099270034e-12,1.131473199062533e-12,96.34631072316328,3.6536892768367153,Low
48,0,1,CADC0872,1,233,234,-1.4488028452991454e-06,6.032890044128557e-10,2.4561942195454656e-05,-1.4895453009880302,0.0157715787369657,1,1,1,55,63,1.6012962324056473e-12,3.132799937927992e-12,233,234,2.589223194904961e-12,2.578158138516479e-12,95.49304776115432,4.506952238845685,Low
49,0,1,CADC0872,1,185,186,-6.523637596774194e-06,2.5008550452398304e-10,1.5814091960146906e-05,-0.6905052180708902,-0.7442022222449438,2,1,1,27,35,1.8235065788138158e-12,4.373566220842752e-12,185,186,1.3518135379674759e-12,1.3445457232472206e-12,97.2431841130621,2.7568158869379005,Low
50,0,0,CADC0872,1,197,198,5.0880126373737374e-06,5.857931368347815e-10,2.420316377738212e-05,-0.730640219116145,-0.5972663331352035,1,1,1,43,52,2.053498038814643e-12,3.842948188419347e-12,197,198,2.9735692225115824e-12,2.958551196135261e-12,96.84694436860597,3.1530556313940252,Low
51,1,1,CADC0872,1,206,207,3.2513048792270545e-06,8.37596627152016e-10,2.894126167173809e-05,-1.3118048273573302,-0.0988221558243367,1,1,1,18,26,5.0025939564604206e-12,1.024830473634244e-11,206,207,4.066003044427263e-12,4.0463605176425896e-12,95.72789845275726,4.272101547242741,Low
52,1,1,CADC0872,1,166,167,-1.8754152574850304e-06,5.697570098170464e-10,2.3869583360776248e-05,-1.2205775116636852,-0.2947699527317904,1,1,1,33,43,2.505382759431736e-12,5.010278248138061e-12,166,167,3.432271143476183e-12,3.4117186216589605e-12,96.23710463931958,3.7628953606804174,Low
53,0,1,CADC0872,1,193,194,-3.737276556701031e-06,8.166443576989557e-10,2.857699000417916e-05,-1.4758693751638186,-0.0164847932084414,1,1,1,45,62,3.1669332527812304e-12,6.061745467709311e-12,193,194,4.23131791553863e-12,4.209506998448225e-12,95.57739333466922,4.422606665330775,Low
54,0,0,CADC0872,1,180,181,2.0111364640884e-07,7.727336865109864e-10,2.779808782112515e-05,-1.454653076723475,-0.0703708418890259,1,1,1,39,42,2.504851863701707e-12,4.136274538327412e-12,180,181,4.292964925061036e-12,4.2692468868010296e-12,95.71935808907168,4.280641910928324,Low
55,0,1,CADC0872,1,173,174,3.601382387931034e-06,5.119306924574624e-10,2.2625885451346705e-05,-1.0730512326690211,-0.3433641113262408,1,1,1,45,50,2.5160701738773417e-12,5.5222220290121546e-12,173,174,2.95913695062117e-12,2.9421304164221976e-12,96.3004187531028,3.6995812468971963,Low
56,0,1,CADC0872,1,190,191,4.68003470157068e-06,4.4151578223804474e-10,2.1012276940827822e-05,-1.217343212252034,-0.1906420296395878,1,1,1,29,45,2.651447712992497e-12,5.423697489754469e-12,190,191,2.3237672749370777e-12,2.311600954125889e-12,95.9406166864294,4.059383313570606,Low
57,1,1,CADC0872,1,190,191,3.63203292670157e-06,3.969025581867572e-10,1.9922413462900453e-05,-1.2363885717823313,-0.2132621806319292,2,1,1,16,29,4.264999474465775e-12,8.612306281625527e-12,190,191,2.08896083256188e-12,2.078023864852132e-12,96.01432566742926,3.9856743325707384,Low
58,0,1,CADC0872,1,158,159,-4.3134840754716985e-06,9.74329108007339e-11,9.870811050807015e-06,-1.3936797186758496,0.0043021026279251,2,1,1,28,36,2.0130440020890228e-12,4.249245681800116e-12,158,159,6.166639924097082e-13,6.12785602520339e-13,95.47767672500292,4.522323274997078,Low
59,1,1,CADC0872,1,194,195,2.892919692307692e-06,2.1281915687004408e-10,1.45883226201659e-05,-1.3743775799641456,-0.069716947064986,2,2,1,4,15,3.111372416656651e-12,6.166965234303396e-12,194,195,1.0970059632476498e-12,1.0913802916412518e-12,95.67745890355103,4.3225410964489726,Low
60,1,1,CADC0872,1,192,193,2.5781327461139894e-06,2.545791623726749e-10,1.5955537044320224e-05,-1.510190329450101,-0.0282323702724008,1,1,1,27,26,1.3298934947435105e-12,2.4942697544929287e-12,192,193,1.3259331373576819e-12,1.3190630174749996e-12,95.62837410213127,4.371625897868725,Low
61,0,0,CADC0872,1,184,185,3.033028583783784e-06,2.7959955150217535e-10,1.6721230561838906e-05,-1.4817374727215182,-0.0570138534090869,1,1,1,51,57,6.821750112247423e-13,1.0305709339668388e-12,184,185,1.5195627799031274e-12,1.5113489270387868e-12,95.69553119736157,4.304468802638425,Low
62,1,1,CADC0872,1,172,173,-4.602417971098265e-06,1.8269593844508815e-10,1.3516506147858188e-05,-1.2990520296010797,-0.1025238130996888,2,2,1,1,5,4.238231915108686e-12,6.898922805017506e-12,172,173,1.0621856886342337e-12,1.0560458869658277e-12,95.73244716947018,4.267552830529823,Low
63,0,0,CADC0872,1,207,208,7.758007211538466e-07,6.311851535680606e-10,2.512339852742978e-05,-1.4288886955001552,-0.0352066460958525,1,1,1,58,71,8.404117628554484e-13,8.262101578803194e-13,207,208,3.0492036404254144e-12,3.034544007538754e-12,95.60685032497115,4.393149675028852,Low
64,0,0,CADC0872,1,185,186,2.298144392473119e-06,4.828665429025704e-10,2.197422451197244e-05,-1.0283408368296691,-0.3693812014445832,1,1,1,54,64,7.461330539423794e-13,8.041403402180727e-13,185,186,2.6100894210949747e-12,2.5960566822718835e-12,96.35159498053676,3.6484050194632403,Low
65,0,1,CADC0872,1,189,190,7.0171540421052645e-06,7.616527140263473e-10,2.759805634508248e-05,-1.0739005137153346,-0.3149010869319039,1,1,1,58,68,1.0784858541917028e-12,1.1094434853895177e-12,189,190,4.029908539821943e-12,4.008698494875512e-12,96.22006486950701,3.779935130492987,Low
66,0,0,CADC0872,1,195,196,3.7591720612244905e-06,9.645156750499034e-10,3.1056652669756655e-05,-1.495399910264106,-0.0500405732365078,1,1,1,54,67,1.2326429790891474e-12,7.096333049216229e-13,195,196,4.946234231025145e-12,4.920998342091344e-12,95.68220875972861,4.31779124027139,Low
67,0,1,CADC0872,1,179,180,-3.84912996111111e-06,6.640561139815299e-10,2.5769286252854e-05,-1.4956430025912677,-0.0036867545410024,1,1,1,48,56,1.086661011723246e-12,7.683594323691489e-13,179,180,3.709810692634245e-12,3.6892006332307206e-12,95.55120012334775,4.448799876652245,Low
68,0,1,CADC0872,1,184,185,-5.100298848648649e-06,5.188734516159004e-10,2.2778793901695067e-05,-1.416096102682555,-0.0642284565779919,1,1,1,53,59,8.803084129211662e-13,8.900904496353865e-13,184,185,2.819964410955981e-12,2.804721360085948e-12,95.68268219208694,4.3173178079130565,Low
69,0,1,CADC0872,1,184,185,2.671946816216216e-06,4.927733588189808e-10,2.219849902175777e-05,-1.4689595707856722,-0.0561836788134265,1,1,1,58,67,8.981383545909286e-13,1.0637560706832997e-12,184,185,2.6781160805379395e-12,2.663639777399897e-12,95.68656313493136,4.313436865068638,Low
70,0,1,CADC0872,1,171,172,3.182576854651162e-06,2.6726509355641103e-10,1.6348244357006993e-05,-1.0258049602082415,-0.4235697550629071,1,1,1,52,60,5.422247932519427e-13,7.784233211330322e-13,171,172,1.5629537634877838e-12,1.5538668230023896e-12,96.50398861808446,3.4960113819155367,Low
71,1,1,CADC0872,1,182,183,2.893392010382513e-06,1.7731739285995887e-10,1.3316057707142864e-05,-1.1040904271965803,-0.2735371710611026,1,1,1,44,52,5.436368282674423e-13,9.315069785279786e-13,182,183,9.742713893404333e-13,9.689475019669884e-13,96.1185745524288,3.8814254475712033,Low
72,0,0,CADC0872,1,187,188,1.5482294946808511e-06,2.3533914099406087e-10,1.5340767288309307e-05,-1.4463689695446549,-0.0129745063913853,1,1,1,61,65,5.548524560768719e-13,8.476325002096805e-13,187,188,1.2584980801821436e-12,1.2518039414577709e-12,95.55300102816034,4.446998971839662,Low
73,0,1,CADC0872,1,162,163,-4.1057247484662585e-06,9.305489476574432e-11,9.646496502137153e-06,-1.4643084778714672,-0.0251626262914755,1,1,1,48,55,3.9829594881921e-13,6.973088195415399e-13,162,163,5.744129306527428e-13,5.708889249432167e-13,95.5967501780208,4.403249821979202,Low
74,1,1,CADC0872,1,190,191,5.308426963350783e-07,2.1922667955327403e-10,1.4806305398487297e-05,-1.2258996184457776,0.1034148049537675,1,1,1,13,16,2.330147984264057e-12,3.773585642967591e-12,190,191,1.153824629227758e-12,1.1477836625825865e-12,95.11219438979208,4.88780561020792,Low
75,0,0,CADC0872,1,188,189,2.738583562962963e-06,2.4363128236749434e-10,1.5608692525881032e-05,-1.4228862421816684,-0.0784838111123839,1,1,1,54,61,6.157478321882545e-13,9.692337487614106e-13,188,189,1.2959110764228422e-12,1.2890544040608166e-12,95.72671337692054,4.273286623079457,Low
76,0,1,CADC0872,1,180,181,3.495366430939227e-06,2.587241683162709e-10,1.6084904983128465e-05,-1.4225883367707646,-0.0773036654387795,1,1,1,31,34,3.143300244295696e-12,8.166129331452272e-12,180,181,1.4373564906459497e-12,1.429415294565033e-12,95.72320515426412,4.276794845735878,Low
77,0,1,CADC0872,1,180,181,-6.273053140331491e-06,2.1093718662050679e-10,1.4523676759708843e-05,-1.3798790827668337,0.0179007956267788,11,1,1,31,44,5.328779836742249e-12,1.5160421130533637e-11,180,181,1.1718732590028157e-12,1.1653988211077725e-12,95.4320517967565,4.567948203243503,Low
78,0,1,CADC0872,1,198,199,-1.0495236432160806e-06,5.339947695131564e-10,2.310832684365436e-05,-1.3874609017024164,-0.1041889661129474,1,1,1,41,55,3.913336729971621e-12,9.945435765051948e-12,198,199,2.696943280369478e-12,2.683390801573652e-12,95.78142656403237,4.2185734359676275,Low
79,0,1,CADC0872,1,182,183,1.781611322404373e-06,4.034177597538902e-10,2.008526225255449e-05,-0.8338558517755952,-0.4487887167373275,1,1,1,26,37,3.6082947542946738e-12,9.701650285892871e-12,182,183,2.216581097548847e-12,2.204468632534919e-12,96.47853740677482,3.5214625932251806,Low
80,1,1,CADC0872,1,177,178,6.674827876404496e-07,5.137744458321065e-10,2.266659316774593e-05,0.4634700531724163,-0.8369032610276442,2,1,1,2,2,6.962235263410451e-11,2.020517843314645e-10,177,178,2.902680484927156e-12,2.8863732911916096e-12,96.9238001262749,3.076199873725102,Low
81,1,0,CADC0872,1,181,182,2.7613645109890102e-06,8.387918034430804e-10,2.8961902621255404e-05,-1.4544127293462146,-0.1321786336700885,1,1,1,30,43,3.2987976919972282e-12,6.519578720607465e-12,181,182,4.63420885880155e-12,4.608746172764179e-12,95.89427410688845,4.105725893111554,Low
82,1,1,CADC0872,1,165,166,-7.583311739759037e-06,4.306874220481651e-10,2.075300995152668e-05,-1.4463011708546298,0.0201990359882362,2,1,1,9,26,4.210050502464988e-12,9.279822016730595e-12,165,166,2.6102268002919104e-12,2.5945025424588264e-12,95.45882794351864,4.541172056481358,Low
83,0,1,CADC0872,1,184,185,6.311814000000077e-08,7.821093261316574e-10,2.796621758714713e-05,-1.4898144084296108,-0.0164111850420139,1,1,1,47,58,1.477979682258526e-12,1.4723699328012557e-12,184,185,4.2505941637590084e-12,4.2276179790900415e-12,95.58423436352182,4.415765636478184,Low
84,0,1,CADC0872,1,177,178,2.7145980494382026e-06,7.429013812823033e-10,2.725621729591807e-05,-1.4306010913298026,-0.0610239754201624,1,1,1,43,56,1.427421743962808e-12,1.4108920922930565e-12,177,178,4.197182945097758e-12,4.173603265630917e-12,95.68077464164156,4.3192253583584375,Low
85,0,1,CADC0872,1,173,174,7.936907586206898e-06,5.965982205763822e-10,2.442536019338061e-05,-1.4700929404093162,-0.0325844290585811,1,1,1,45,56,1.0256166462561637e-12,7.324357024993022e-13,173,174,3.4485446276091454e-12,3.428725405611392e-12,95.620217069257,4.379782930743005,Low
86,0,0,CADC0872,1,176,177,3.284200141242938e-06,5.25711357488014e-10,2.2928396313044093e-05,-1.4530862609027564,-0.0425118669404759,1,1,1,51,64,1.0281426797197442e-12,1.0634296544059628e-12,176,177,2.986996349363716e-12,2.9701206637740906e-12,95.63981147080057,4.360188529199434,Low
87,0,0,CADC0872,1,177,178,2.208765617977528e-07,5.141055765632126e-10,2.267389636924392e-05,-1.4957787948396222,0.0152093887620653,1,1,1,54,62,9.687954173582148e-13,1.017118662657163e-12,177,178,2.904551280018151e-12,2.888233576197824e-12,95.4978429407957,4.502157059204293,Low
88,0,1,CADC0872,1,161,162,-3.433459209876543e-06,2.1741008990639615e-10,1.474483265101358e-05,-1.3995810314278638,-0.0951258002999912,1,1,1,41,51,6.194370348541968e-13,8.185023715281874e-13,161,162,1.3503732292322745e-12,1.3420375920147914e-12,95.76213169809598,4.237868301904015,Low
89,0,1,CADC0872,1,180,181,3.0945816270718224e-06,2.778229699351285e-10,1.6668022376248732e-05,-1.50866547228592,-0.0133803783681097,1,1,1,58,63,7.235222004563904e-13,1.1707568306613525e-12,180,181,1.5434609440840472e-12,1.5349335355531961e-12,95.5855134605997,4.414486539400301,Low
90,1,1,CADC0872,1,178,179,4.10232853631285e-06,2.429536738482512e-10,1.5586971285283464e-05,-1.4390862605150303,-0.1161229677640195,1,1,1,32,34,8.78514743172998e-13,1.5524453321279176e-12,178,179,1.364908280046355e-12,1.3572830941243085e-12,95.84149609757178,4.158503902428222,Low
91,0,0,CADC0872,1,177,178,4.341548820224719e-07,2.586415198167186e-10,1.608233564556836e-05,-1.3704141178834812,-0.0982646630239422,1,1,1,51,57,5.63576105585588e-13,6.998270079582643e-13,177,178,1.4612515243882409e-12,1.4530422461613405e-12,95.75627627284035,4.243723727159647,Low
